peaks_diff,period,oxigen_per_lit
417.1190476,1.977598852,0.766093645
186,9.950663095,2.66540301
273,2.441032461,1.438294314
328.3333333,2.41970232,1.574147157
296.6666667,2.581059774,1.526147157
311.6666667,2.413992158,1.558173913
364.8666667,2.760269168,1.392441472
403.4666667,2.760548324,1.591951505
352.6666667,2.430237238,1.747198997
382.5,2.502019004,1.678386288
447.3333333,2.498140005,1.956158863
452.3333333,2.585828283,1.8650301
451.5,2.479820004,2.090994983
493.3,2.578690591,2.022143813
489.8333333,2.448145483,2.314876254
521.2666667,2.550670711,2.376682274
530.8,2.896963598,2.1690301
516.6,2.922363017,2.258869565
539.5666667,2.599899811,2.839389632
533.4,2.56126956,2.490399666
557.8333333,2.523054113,2.794749164
519.1666667,2.492549078,3.097886288
524.8333333,2.35981522,3.293921405
562.4285714,2.263581043,3.310795987
567.452381,2.133139925,3.848869565
576.8571429,2.091432513,3.850976589
553.5714286,2.108105827,3.856896321
586.7142857,2.075365367,3.980789298
562,1.848311386,4.617812709
560.7888889,1.655283805,5.362956522
592.6222222,1.567633848,5.349725753
594.3444444,1.546009722,6.180232441
595.1,1.484946087,6.241401338
631.7272727,1.370904874,6.419053512
624.7272727,1.34349201,7.184185619
638.1818182,1.332131085,7.180434783
586.6363636,1.329402632,7.306414716
524.5833333,1.294412823,7.728602007
494.8406593,1.070230062,8.294675585
471.6,0.997486651,9.08726087
506.1410256,0.983778741,9.771137124
554.3666667,1.47666969,5.533682274
570.2222222,1.566156391,6.063327759
580,1.511624355,6.655137124
592.2636364,1.485266504,6.54670903
583,1.492591613,6.712456522
326.7857143,1.284871452,1.383513378
287.6825397,1.493589041,3.381934783
385,1.488363643,3.153025084
343.4,1.493247762,3.349974916
475,1.485289796,3.321839465
546.4,1.480625921,4.356351171
462.425,1.484508549,4.329794314
452.9,1.467547398,4.532061873
343.3846154,1.138305005,4.917994983
423.7878788,1.498421852,3.845667224
473.8,1.459779292,4.422240803
449.3636364,1.376286827,4.344108696
476.6,1.483249838,4.682324415
